epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,375.361,0.71043,0.44706,0.90257,0.86693,0.81437,0.88706,0.48485,1.50158,0.82856,1.45173,0.000614,0.000614,0.000614
142,377.958,0.71502,0.49173,0.93467,0.87143,0.76562,0.8536,0.4735,1.53503,0.87985,1.44112,0.0006041,0.0006041,0.0006041
143,380.566,0.67008,0.43563,0.91184,0.86331,0.78957,0.8538,0.49027,1.55002,0.85735,1.44667,0.0005942,0.0005942,0.0005942
144,383.25,0.72996,0.4674,0.92512,0.89143,0.75,0.84243,0.47934,1.52058,0.87509,1.43238,0.0005843,0.0005843,0.0005843
145,385.908,0.70847,0.45742,0.91425,0.78601,0.8125,0.80815,0.45868,1.53205,0.89187,1.42138,0.0005744,0.0005744,0.0005744
146,388.768,0.6775,0.44732,0.91953,0.82279,0.8125,0.81098,0.44308,1.55836,0.92602,1.42193,0.0005645,0.0005645,0.0005645
147,391.389,0.69033,0.44837,0.89834,0.88181,0.82812,0.84953,0.43412,1.59321,0.94217,1.45388,0.0005546,0.0005546,0.0005546
148,394.049,0.72436,0.45729,0.95154,0.85934,0.85938,0.86959,0.4509,1.60578,0.91466,1.45767,0.0005447,0.0005447,0.0005447
149,396.602,0.69494,0.47186,0.91439,0.84862,0.79688,0.84317,0.44523,1.60482,0.91861,1.45762,0.0005348,0.0005348,0.0005348
150,399.219,0.65292,0.42282,0.90369,0.85145,0.75,0.8324,0.45188,1.56229,0.93619,1.39399,0.0005249,0.0005249,0.0005249
151,401.816,0.663,0.41877,0.89739,0.83854,0.8125,0.86083,0.47455,1.52055,0.93494,1.37566,0.000515,0.000515,0.000515
152,404.436,0.66629,0.43857,0.90805,0.79994,0.81218,0.8384,0.46794,1.54419,0.95226,1.38502,0.0005051,0.0005051,0.0005051
153,407.046,0.69682,0.44353,0.9117,0.8392,0.78125,0.83749,0.44454,1.56479,0.99507,1.4128,0.0004952,0.0004952,0.0004952
154,409.658,0.70186,0.4637,0.90997,0.85597,0.75,0.83894,0.46003,1.56845,0.92711,1.42814,0.0004853,0.0004853,0.0004853
155,412.348,0.66918,0.42211,0.89855,0.86721,0.75,0.82226,0.47537,1.55418,0.91101,1.45527,0.0004754,0.0004754,0.0004754
156,415.261,0.68928,0.42648,0.89718,0.83928,0.73438,0.81266,0.47236,1.55734,0.91554,1.4703,0.0004655,0.0004655,0.0004655
157,417.874,0.67308,0.44428,0.89314,0.8543,0.73296,0.8109,0.46832,1.54923,0.92304,1.434,0.0004556,0.0004556,0.0004556
158,420.613,0.66001,0.42228,0.89963,0.81597,0.79688,0.82116,0.48174,1.54124,0.88513,1.41881,0.0004457,0.0004457,0.0004457
159,423.2,0.67927,0.42794,0.8955,0.8661,0.78125,0.8642,0.48501,1.52177,0.8647,1.40665,0.0004358,0.0004358,0.0004358
160,425.821,0.64106,0.42143,0.91363,0.87934,0.76562,0.86004,0.46925,1.55511,0.86392,1.44164,0.0004259,0.0004259,0.0004259
161,428.373,0.62918,0.40633,0.91373,0.83325,0.78082,0.82385,0.46141,1.5732,0.91007,1.43258,0.000416,0.000416,0.000416
162,431.006,0.65388,0.42666,0.90953,0.80745,0.79688,0.79208,0.44423,1.55896,0.92877,1.43343,0.0004061,0.0004061,0.0004061
163,433.612,0.63663,0.42101,0.90103,0.84771,0.8125,0.84661,0.45343,1.54784,0.90506,1.44007,0.0003962,0.0003962,0.0003962
164,436.24,0.63691,0.41882,0.89333,0.84635,0.79688,0.84873,0.43942,1.55536,0.906,1.4451,0.0003863,0.0003863,0.0003863
165,438.854,0.62936,0.40873,0.8882,0.82078,0.79688,0.85018,0.43739,1.56207,0.91192,1.45825,0.0003764,0.0003764,0.0003764
166,441.454,0.598,0.41372,0.87355,0.82145,0.79688,0.84961,0.45053,1.55091,0.92367,1.44747,0.0003665,0.0003665,0.0003665
167,444.108,0.64167,0.42992,0.88332,0.84101,0.79688,0.84637,0.46402,1.53635,0.9259,1.43589,0.0003566,0.0003566,0.0003566
168,446.761,0.64716,0.39748,0.89971,0.83089,0.78125,0.83168,0.4542,1.51751,0.93437,1.42345,0.0003467,0.0003467,0.0003467
169,449.367,0.61289,0.39795,0.86403,0.83128,0.78125,0.82432,0.44728,1.54845,0.94177,1.45555,0.0003368,0.0003368,0.0003368
170,452.123,0.61676,0.42039,0.893,0.86149,0.77751,0.85201,0.44347,1.58502,0.93573,1.48037,0.0003269,0.0003269,0.0003269
171,454.857,0.61328,0.40753,0.89704,0.78633,0.82812,0.83878,0.44279,1.57836,0.90154,1.49075,0.000317,0.000317,0.000317
172,457.502,0.57753,0.38695,0.86471,0.79202,0.8125,0.82153,0.45708,1.56755,0.89828,1.48423,0.0003071,0.0003071,0.0003071
173,460.118,0.59772,0.40137,0.87564,0.81824,0.79688,0.8226,0.46219,1.57814,0.91182,1.48887,0.0002972,0.0002972,0.0002972
174,462.768,0.58666,0.39089,0.86034,0.83457,0.78832,0.8313,0.45806,1.574,0.89079,1.46413,0.0002873,0.0002873,0.0002873
175,465.372,0.615,0.39942,0.89503,0.81435,0.8225,0.83809,0.45468,1.54985,0.8869,1.43029,0.0002774,0.0002774,0.0002774
176,467.988,0.59452,0.39599,0.88472,0.83332,0.82812,0.8469,0.47257,1.53204,0.89264,1.41428,0.0002675,0.0002675,0.0002675
177,470.56,0.59207,0.39541,0.88131,0.84011,0.82812,0.84079,0.46557,1.53716,0.91391,1.43313,0.0002576,0.0002576,0.0002576
178,473.199,0.59303,0.37586,0.86781,0.81147,0.82812,0.83169,0.46573,1.53548,0.90756,1.4495,0.0002477,0.0002477,0.0002477
179,475.83,0.57711,0.38498,0.87615,0.87091,0.78125,0.83397,0.46388,1.54899,0.93151,1.44288,0.0002378,0.0002378,0.0002378
